latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
22.33407,69.86489,303.35,0.4,0.37,2026-07-18,2104,SNPP,SNPP,n,2.0NRT,291.57,1.06,N
22.3335,69.86872,304.01,0.4,0.37,2026-07-18,2104,SNPP,SNPP,n,2.0NRT,291.79,1.06,N
20.91065,71.45998,309.25,0.39,0.36,2026-07-18,2106,SNPP,SNPP,n,2.0NRT,291.19,1.45,N
17.61379,83.20097,303.12,0.62,0.71,2026-07-18,2106,SNPP,SNPP,n,2.0NRT,278.03,2.2,N
17.60729,83.19928,306.69,0.62,0.71,2026-07-18,2106,SNPP,SNPP,n,2.0NRT,279.1,2.2,N
17.60077,83.19767,297.76,0.62,0.71,2026-07-18,2106,SNPP,SNPP,n,2.0NRT,278.1,2.09,N
17.60899,83.1993,308.94,0.62,0.71,2026-07-18,2106,SNPP,SNPP,n,2.0NRT,278.75,3.2,N
17.60769,83.20507,304.45,0.62,0.71,2026-07-18,2106,SNPP,SNPP,n,2.0NRT,278.47,3.29,N
17.60249,83.19764,297.94,0.62,0.71,2026-07-18,2106,SNPP,SNPP,n,2.0NRT,278.57,2.42,N
9.52781,78.55108,299.09,0.44,0.62,2026-07-18,2108,SNPP,SNPP,n,2.0NRT,282.88,0.3,N
8.75953,78.18171,331.98,0.39,0.36,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,301.91,3.02,D
8.74212,77.95865,347.71,0.39,0.36,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,308.33,11.48,D
8.74156,77.95508,348.69,0.39,0.36,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,309.89,11.48,D
8.74492,77.95454,344.8,0.39,0.36,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,308.57,11.48,D
8.71944,77.69647,335.31,0.4,0.37,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,301.43,2.31,D
9.174,77.76717,339.13,0.4,0.37,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,301.31,3.49,D
9.42364,78.87246,338.66,0.38,0.36,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,294.64,2.74,D
9.51247,78.81163,337.97,0.38,0.36,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,288.98,4.06,D
9.50402,78.73427,341.7,0.38,0.36,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,293.27,6.91,D
9.31651,77.47769,338.01,0.4,0.37,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,302.56,5.47,D
9.31594,77.47405,337.12,0.4,0.37,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,300.63,3.34,D
9.31763,77.35015,330.45,0.4,0.37,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,296.67,3.07,D
9.31305,77.32127,337.44,0.4,0.37,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,293.15,7.68,D
9.31137,77.31067,343.28,0.4,0.37,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,292.9,8.32,D
9.31647,77.32088,338.73,0.4,0.37,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,292.57,6.69,D
9.32051,77.32431,337.52,0.4,0.37,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,292.74,6.69,D
9.32393,77.32397,346.9,0.4,0.37,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,290.51,5.03,D
9.46468,78.11044,340.66,0.39,0.36,2026-07-19,0813,SNPP,SNPP,n,2.0NRT,298.06,3.47,D
16.17509,79.22315,332.93,0.41,0.37,2026-07-19,0816,SNPP,SNPP,n,2.0NRT,297.21,4.25,D
16.13789,78.96819,341.8,0.4,0.37,2026-07-19,0816,SNPP,SNPP,n,2.0NRT,292.72,8.52,D
16.37691,78.83487,330.26,0.4,0.37,2026-07-19,0816,SNPP,SNPP,n,2.0NRT,293.23,2.27,D
16.83773,80.91231,338.45,0.49,0.4,2026-07-19,0816,SNPP,SNPP,n,2.0NRT,295.25,10.26,D
16.83798,80.23949,333.02,0.45,0.39,2026-07-19,0816,SNPP,SNPP,n,2.0NRT,291.72,3.93,D
16.67236,78.52065,334.24,0.4,0.37,2026-07-19,0816,SNPP,SNPP,n,2.0NRT,296.37,2.51,D
17.60953,83.20609,333.52,0.45,0.47,2026-07-19,0816,SNPP,SNPP,n,2.0NRT,290.99,2.68,D
17.76416,78.67516,339.11,0.41,0.37,2026-07-19,0816,SNPP,SNPP,n,2.0NRT,297.66,6.03,D
23.25703,70.30906,335.62,0.57,0.43,2026-07-19,0818,SNPP,SNPP,n,2.0NRT,294.05,5.46,D
31.03354,74.85312,330.91,0.39,0.36,2026-07-19,0820,SNPP,SNPP,n,2.0NRT,290.53,2.49,D
14.49587,75.92569,296.15,0.41,0.37,2026-07-19,2046,SNPP,SNPP,n,2.0NRT,273.02,0.48,N
20.25758,86.60252,312.1,0.45,0.63,2026-07-19,2046,SNPP,SNPP,n,2.0NRT,280.98,1.25,N
8.84588,78.06475,330.6,0.43,0.46,2026-07-20,0754,SNPP,SNPP,n,2.0NRT,271.62,2.64,D
17.37366,82.72456,340.53,0.39,0.36,2026-07-20,0756,SNPP,SNPP,n,2.0NRT,292.62,3.67,D
9.16154,77.31667,333.7,0.48,0.48,2026-07-20,0756,SNPP,SNPP,n,2.0NRT,266.02,9.67,D
17.61235,83.20256,335.13,0.4,0.37,2026-07-20,0756,SNPP,SNPP,n,2.0NRT,292.47,4.58,D
17.62295,83.22784,331.67,0.4,0.37,2026-07-20,0756,SNPP,SNPP,n,2.0NRT,292.48,3.23,D
25.94319,72.18764,314.55,0.34,0.56,2026-07-20,2025,SNPP,SNPP,n,2.0NRT,288.73,1.54,N
25.78157,73.6991,304.64,0.54,0.51,2026-07-20,2025,SNPP,SNPP,n,2.0NRT,287.73,1.88,N
25.94229,72.18838,318.62,0.34,0.56,2026-07-20,2025,SNPP,SNPP,n,2.0NRT,288.87,1.87,N
25.78023,73.69814,307.65,0.54,0.51,2026-07-20,2025,SNPP,SNPP,n,2.0NRT,287.72,1.96,N
9.17715,77.31189,315.78,0.38,0.36,2026-07-20,2029,SNPP,SNPP,n,2.0NRT,273.81,0.85,N
11.99332,79.00209,321.85,0.39,0.36,2026-07-20,2029,SNPP,SNPP,n,2.0NRT,288.32,1.52,N
11.62482,79.27104,314.91,0.39,0.36,2026-07-20,2029,SNPP,SNPP,n,2.0NRT,289.59,3.49,N
9.17936,77.31927,308.54,0.38,0.36,2026-07-20,2029,SNPP,SNPP,n,2.0NRT,272.23,1,N
9.1777,77.30841,303.71,0.38,0.36,2026-07-20,2029,SNPP,SNPP,n,2.0NRT,270.95,0.85,N
9.1766,77.31534,299.62,0.38,0.36,2026-07-20,2029,SNPP,SNPP,n,2.0NRT,273.81,0.79,N
9.17439,77.30786,295.61,0.38,0.36,2026-07-20,2029,SNPP,SNPP,n,2.0NRT,270.59,0.85,N
9.17384,77.31139,310.29,0.38,0.36,2026-07-20,2029,SNPP,SNPP,n,2.0NRT,272.15,0.85,N
9.17089,77.31107,301.16,0.38,0.36,2026-07-20,2029,SNPP,SNPP,n,2.0NRT,270.1,0.63,N
9.16759,77.31052,308.06,0.38,0.36,2026-07-20,2029,SNPP,SNPP,n,2.0NRT,270.43,0.63,N
9.4586,78.62737,338.9,0.4,0.6,2026-07-21,0735,SNPP,SNPP,n,2.0NRT,276.05,3.84,D
9.45786,78.62679,340.37,0.4,0.6,2026-07-21,0735,SNPP,SNPP,n,2.0NRT,276.45,3.77,D
9.54248,78.77563,356.42,0.39,0.59,2026-07-21,0735,SNPP,SNPP,n,2.0NRT,273.77,17.56,D
9.54116,78.7685,335.35,0.39,0.59,2026-07-21,0735,SNPP,SNPP,n,2.0NRT,268.8,11.88,D
9.54182,78.77206,357.19,0.39,0.59,2026-07-21,0735,SNPP,SNPP,l,2.0NRT,275.21,11.88,D
9.54794,78.77464,358.05,0.39,0.59,2026-07-21,0735,SNPP,SNPP,l,2.0NRT,270.3,17.56,D
9.54728,78.77107,358.04,0.39,0.59,2026-07-21,0735,SNPP,SNPP,l,2.0NRT,269.9,11.88,D
12.13372,77.06586,351.57,0.46,0.63,2026-07-21,0737,SNPP,SNPP,n,2.0NRT,282.15,6.15,D
15.46109,80.16556,340.66,0.5,0.49,2026-07-21,0737,SNPP,SNPP,n,2.0NRT,279.06,4.77,D
15.46267,80.16653,344.62,0.5,0.49,2026-07-21,0737,SNPP,SNPP,n,2.0NRT,278.91,5.97,D
23.73733,86.4358,344.6,0.4,0.37,2026-07-21,0739,SNPP,SNPP,n,2.0NRT,294.23,5.57,D
28.66147,77.57709,305.99,0.33,0.55,2026-07-21,2006,SNPP,SNPP,n,2.0NRT,286.07,1.06,N
28.66513,77.57671,306.55,0.33,0.55,2026-07-21,2006,SNPP,SNPP,n,2.0NRT,286.02,1.8,N
23.484,87.36176,300.1,0.4,0.37,2026-07-21,2008,SNPP,SNPP,n,2.0NRT,280.14,1.69,N
12.74624,77.61856,306.17,0.42,0.45,2026-07-21,2010,SNPP,SNPP,n,2.0NRT,284.47,0.85,N
17.61091,83.20271,303.85,0.39,0.36,2026-07-21,2010,SNPP,SNPP,n,2.0NRT,266.23,0.5,N
13.29847,78.88514,305.11,0.53,0.42,2026-07-21,2010,SNPP,SNPP,n,2.0NRT,288.92,0.6,N
10.61256,77.49836,303.25,0.4,0.44,2026-07-21,2012,SNPP,SNPP,n,2.0NRT,273.66,0.4,N
10.61532,77.42051,299.7,0.4,0.44,2026-07-21,2012,SNPP,SNPP,n,2.0NRT,276.19,0.5,N
8.62434,77.78712,340.33,0.4,0.6,2026-07-22,0858,SNPP,SNPP,n,2.0NRT,296.9,2.92,D
8.62802,77.78912,367,0.4,0.6,2026-07-22,0858,SNPP,SNPP,h,2.0NRT,297.66,9.48,D
8.62754,77.78538,333.88,0.4,0.6,2026-07-22,0858,SNPP,SNPP,n,2.0NRT,296.66,3.76,D
8.76218,77.69276,352.45,0.4,0.6,2026-07-22,0858,SNPP,SNPP,n,2.0NRT,297.36,4.78,D
8.62484,77.79086,334.04,0.4,0.6,2026-07-22,0858,SNPP,SNPP,n,2.0NRT,296.5,7.21,D
8.62995,77.78645,344.03,0.4,0.6,2026-07-22,0858,SNPP,SNPP,n,2.0NRT,296.45,2.92,D
23.76508,86.40367,314.29,0.5,0.41,2026-07-22,1947,SNPP,SNPP,n,2.0NRT,272.18,1.81,N
23.76131,86.40308,297.16,0.5,0.41,2026-07-22,1947,SNPP,SNPP,n,2.0NRT,269.45,1.2,N
23.75755,86.40247,301,0.5,0.41,2026-07-22,1947,SNPP,SNPP,n,2.0NRT,267.61,1.2,N
23.82284,84.56946,308.36,0.42,0.45,2026-07-22,1947,SNPP,SNPP,n,2.0NRT,267.2,1.34,N
23.82235,84.57365,300.7,0.42,0.45,2026-07-22,1947,SNPP,SNPP,n,2.0NRT,267.26,1.34,N
23.76534,86.40031,299.2,0.5,0.41,2026-07-22,1947,SNPP,SNPP,n,2.0NRT,270.51,0.92,N
26.64495,79.47585,307.95,0.47,0.64,2026-07-22,1947,SNPP,SNPP,n,2.0NRT,285.9,1.19,N
